name,value,region
Grenada,1908000000,Central America
Solomon Islands,1783000000,Australia - Oceania
Sint Maarten,1436000000,Central America
Saint Kitts and Nevis,1396000000,Central America
Saint Vincent and the Grenadines,1380000000,Central America
Samoa,1285000000,Australia - Oceania
Northern Mariana Islands,1242000000,Australia - Oceania
Turks and Caicos Islands,1117000000,Central America
Vanuatu,945000000,Australia - Oceania
Dominica,855000000,Central America
Sao Tome and Principe,853000000,Africa
Tonga,667000000,Australia - Oceania
American Samoa,658000000,Australia - Oceania
Saint Martin,561500000,Central America
British Virgin Islands,500000000,Central America
"Micronesia, Federated States of",390000000,Australia - Oceania
Palau,316000000,Australia - Oceania
Cook Islands,299900000,Australia - Oceania
Kiribati,267000000,Australia - Oceania
Saint Pierre and Miquelon,261300000,North America
Marshall Islands,227000000,Australia - Oceania
Falkland Islands (Islas Malvinas),206400000,South America
Anguilla,175400000,Central America
Nauru,145000000,Australia - Oceania
Wallis and Futuna,60000000,Australia - Oceania
Tuvalu,49000000,Australia - Oceania
"Saint Helena, Ascension, and Tristan da Cunha",31100000,Africa
Niue,10010000,Australia - Oceania
Tokelau,7711583,Australia - Oceania
