name,value,region
British Virgin Islands,37891,Central America
San Marino,34467,Europe
Saint Martin,32680,Central America
Monaco,31223,Europe
Gibraltar,29516,Europe
Palau,21613,Australia - Oceania
Anguilla,18403,Central America
Wallis and Futuna,15851,Australia - Oceania
Tuvalu,11448,Australia - Oceania
Nauru,9770,Australia - Oceania
Cook Islands,8327,Australia - Oceania
"Saint Helena, Ascension, and Tristan da Cunha",7915,Africa
Saint Barthelemy,7116,Central America
Montserrat,5387,Central America
Saint Pierre and Miquelon,5321,North America
Falkland Islands (Islas Malvinas),3198,South America
Svalbard,2926,Europe
Christmas Island,2205,Australia - Oceania
Niue,2000,Australia - Oceania
Norfolk Island,1748,Australia - Oceania
Tokelau,1647,Australia - Oceania
Paracel Islands,1440,East Asia/Southeast Asia
Holy See (Vatican City),1000,Europe
Cocos (Keeling) Islands,596,Australia - Oceania
Pitcairn Islands,50,Australia - Oceania
